"Step","SAC_single_critic_short_test_track_pixel - loss_critic","SAC_single_critic_short_test_track_pixel - loss_critic__MIN","SAC_single_critic_short_test_track_pixel - loss_critic__MAX"
"524","0.333955109","0.333955109","0.333955109"
"525","0.3160671921","0.3160671921","0.3160671921"
"526","0.3237050746","0.3237050746","0.3237050746"
"527","0.2994075706","0.2994075706","0.2994075706"
"528","0.3017421686","0.3017421686","0.3017421686"
"529","0.3017881896","0.3017881896","0.3017881896"
"530","0.3207347444","0.3207347444","0.3207347444"
"531","0.2973769055","0.2973769055","0.2973769055"
"532","0.2860057225","0.2860057225","0.2860057225"
"533","0.2797714587","0.2797714587","0.2797714587"
"534","0.3097357201","0.3097357201","0.3097357201"
"535","0.2808165761","0.2808165761","0.2808165761"
"536","0.3515686119","0.3515686119","0.3515686119"
"537","0.2890268384","0.2890268384","0.2890268384"
"538","0.3055792551","0.3055792551","0.3055792551"
"539","0.2819814468","0.2819814468","0.2819814468"
"540","0.2960400713","0.2960400713","0.2960400713"
"541","0.2916322136","0.2916322136","0.2916322136"
"542","0.3005508173","0.3005508173","0.3005508173"
"543","0.3052753903","0.3052753903","0.3052753903"
"544","0.2838774891","0.2838774891","0.2838774891"
"545","0.2916128786","0.2916128786","0.2916128786"
"546","0.2794282628","0.2794282628","0.2794282628"
"547","0.3122966473","0.3122966473","0.3122966473"
"548","0.2694054271","0.2694054271","0.2694054271"
"549","0.2820252995","0.2820252995","0.2820252995"
"550","0.319430165","0.319430165","0.319430165"
"551","0.281893478","0.281893478","0.281893478"
