"Step","SAC_short_test_track - loss_actor","SAC_short_test_track - loss_actor__MIN","SAC_short_test_track - loss_actor__MAX"
"311","-2.3506360066","-2.3506360066","-2.3506360066"
"312","-2.3177681863","-2.3177681863","-2.3177681863"
"313","-2.3210237646","-2.3210237646","-2.3210237646"
"314","-2.3299354768","-2.3299354768","-2.3299354768"
"315","-2.3269448256","-2.3269448256","-2.3269448256"
"316","-2.3074423492","-2.3074423492","-2.3074423492"
"317","-2.2870356584","-2.2870356584","-2.2870356584"
"318","-2.2854431319","-2.2854431319","-2.2854431319"
"319","-2.2762806511","-2.2762806511","-2.2762806511"
"320","-2.2949240321","-2.2949240321","-2.2949240321"
"321","-2.2883251822","-2.2883251822","-2.2883251822"
"322","-2.2699321288","-2.2699321288","-2.2699321288"
"323","-2.2804994011","-2.2804994011","-2.2804994011"
"324","-2.251963743","-2.251963743","-2.251963743"
"325","-2.2619975758","-2.2619975758","-2.2619975758"
"326","-2.2614378572","-2.2614378572","-2.2614378572"
"327","-2.2504229057","-2.2504229057","-2.2504229057"
"328","-2.2427715027","-2.2427715027","-2.2427715027"
"329","-2.2485239768","-2.2485239768","-2.2485239768"
"330","-2.2440761495","-2.2440761495","-2.2440761495"
"331","-2.2440671313","-2.2440671313","-2.2440671313"
"332","-2.2289000338","-2.2289000338","-2.2289000338"
"333","-2.216425218","-2.216425218","-2.216425218"
"334","-2.2374537611","-2.2374537611","-2.2374537611"
"335","-2.2165719891","-2.2165719891","-2.2165719891"
"336","-2.2313194215","-2.2313194215","-2.2313194215"
"337","-2.2333908284","-2.2333908284","-2.2333908284"
"338","-2.204791289","-2.204791289","-2.204791289"
"339","-2.2455270141","-2.2455270141","-2.2455270141"
"340","-2.2270544088","-2.2270544088","-2.2270544088"
"341","-2.230046702","-2.230046702","-2.230046702"
"342","-2.2331323498","-2.2331323498","-2.2331323498"
"343","-2.23595245","-2.23595245","-2.23595245"
"344","-2.2251449233","-2.2251449233","-2.2251449233"
"345","-2.2368308002","-2.2368308002","-2.2368308002"
"346","-2.2152883768","-2.2152883768","-2.2152883768"
"347","-2.2476708108","-2.2476708108","-2.2476708108"
"348","-2.2583850861","-2.2583850861","-2.2583850861"
