"Step","SAC_short_test_track - return_train","SAC_short_test_track - return_train__MIN","SAC_short_test_track - return_train__MAX"
"211","38.9199996255","38.9199996255","38.9199996255"
"212","15.2899998128","15.2899998128","15.2899998128"
"213","16.5399998762","16.5399998762","16.5399998762"
"214","19.8699998148","19.8699998148","19.8699998148"
"215","45.369999731","45.369999731","45.369999731"
"216","42.0899996441","42.0899996441","42.0899996441"
"217","42.0899996441","42.0899996441","42.0899996441"
"218","33.0999995656","33.0999995656","33.0999995656"
"219","29.5499996394","29.5499996394","29.5499996394"
"220","29.5499996394","29.5499996394","29.5499996394"
"221","28.6799995527","28.6799995527","28.6799995527"
"222","30.8299996089","30.8299996089","30.8299996089"
"223","19.1399998814","19.1399998814","19.1399998814"
"224","18.8499997836","18.8499997836","18.8499997836"
"225","44.6499997266","44.6499997266","44.6499997266"
"226","14.5299998503","14.5299998503","14.5299998503"
"227","31.6699996479","31.6699996479","31.6699996479"
"228","31.4899997152","31.4899997152","31.4899997152"
"229","31.2299997378","31.2299997378","31.2299997378"
"230","30.0099998955","30.0099998955","30.0099998955"
"231","30.0099998955","30.0099998955","30.0099998955"
"232","41.8399996068","41.8399996068","41.8399996068"
"233","30.6899995971","30.6899995971","30.6899995971"
"234","19.2200000137","19.2200000137","19.2200000137"
"235","31.9799996391","31.9799996391","31.9799996391"
"236","17.8199998681","17.8199998681","17.8199998681"
"237","19.7100000139","19.7100000139","19.7100000139"
"238","30.0499997251","30.0499997251","30.0499997251"
"239","44.9399996568","44.9399996568","44.9399996568"
"240","29.1099997386","29.1099997386","29.1099997386"
"241","29.1099997386","29.1099997386","29.1099997386"
"242","4.549999956","4.549999956","4.549999956"
"243","31.1499996353","31.1499996353","31.1499996353"
"244","31.1499996353","31.1499996353","31.1499996353"
"245","24.6699999403","24.6699999403","24.6699999403"
"246","18.8399999533","18.8399999533","18.8399999533"
"247","47.6199997123","47.6199997123","47.6199997123"
"248","18.8299997244","18.8299997244","18.8299997244"
"249","18.8299997244","18.8299997244","18.8299997244"
"250","148.2200005911","148.2200005911","148.2200005911"
"251","32.2799998131","32.2799998131","32.2799998131"
"252","43.1399996523","43.1399996523","43.1399996523"
"253","43.1399996523","43.1399996523","43.1399996523"
"254","5.1499999873","5.1499999873","5.1499999873"
"255","19.3799998928","19.3799998928","19.3799998928"
"256","18.1999998875","18.1999998875","18.1999998875"
"257","148.1899972726","148.1899972726","148.1899972726"
"258","21.379999863","21.379999863","21.379999863"
"259","30.4699998926","30.4699998926","30.4699998926"
"260","30.0599997453","30.0599997453","30.0599997453"
"261","23.369999757","23.369999757","23.369999757"
"262","24.2499996815","24.2499996815","24.2499996815"
"263","12.8999998737","12.8999998737","12.8999998737"
"264","32.0799996145","32.0799996145","32.0799996145"
"265","24.8499998804","24.8499998804","24.8499998804"
"266","22.0099997241","22.0099997241","22.0099997241"
"267","18.1699999031","18.1699999031","18.1699999031"
"268","22.9999999311","22.9999999311","22.9999999311"
"269","14.7799998522","14.7799998522","14.7799998522"
"270","22.7499998249","22.7499998249","22.7499998249"
"271","21.9699997995","21.9699997995","21.9699997995"
"272","22.169999769","22.169999769","22.169999769"
"273","22.169999769","22.169999769","22.169999769"
"274","19.7799999658","19.7799999658","19.7799999658"
"275","18.629999835","18.629999835","18.629999835"
"276","18.5699998513","18.5699998513","18.5699998513"
"277","23.8699997962","23.8699997962","23.8699997962"
"278","43.039999608","43.039999608","43.039999608"
"279","17.9899998214","17.9899998214","17.9899998214"
"280","18.9499999471","18.9499999471","18.9499999471"
"281","20.3399999291","20.3399999291","20.3399999291"
"282","25.029999733","25.029999733","25.029999733"
"283","22.6299996562","22.6299996562","22.6299996562"
"284","23.3999997806","23.3999997806","23.3999997806"
"285","14.5399999321","14.5399999321","14.5399999321"
"286","14.5399999321","14.5399999321","14.5399999321"
"287","17.5899996888","17.5899996888","17.5899996888"
"288","23.6399996132","23.6399996132","23.6399996132"
"289","37.5099997018","37.5099997018","37.5099997018"
"290","9.4199999012","9.4199999012","9.4199999012"
"291","25.3299996387","25.3299996387","25.3299996387"
"292","18.759999726","18.759999726","18.759999726"
"293","13.1799998768","13.1799998768","13.1799998768"
"294","39.1199995615","39.1199995615","39.1199995615"
"295","21.2799997404","21.2799997404","21.2799997404"
"296","14.849999873","14.849999873","14.849999873"
"297","12.0799998082","12.0799998082","12.0799998082"
"298","16.9999998417","16.9999998417","16.9999998417"
"299","12.6499999333","12.6499999333","12.6499999333"
"300","31.8099995833","31.8099995833","31.8099995833"
"301","15.8999998868","15.8999998868","15.8999998868"
"302","18.8599997126","18.8599997126","18.8599997126"
"303","21.7199997455","21.7199997455","21.7199997455"
"304","21.7199997455","21.7199997455","21.7199997455"
"305","27.5599995572","27.5599995572","27.5599995572"
"306","25.4599997103","25.4599997103","25.4599997103"
"307","19.0599997025","19.0599997025","19.0599997025"
"308","21.5999997482","21.5999997482","21.5999997482"
"309","21.2799997367","21.2799997367","21.2799997367"
"310","31.9599995632","31.9599995632","31.9599995632"
"311","20.6999997776","20.6999997776","20.6999997776"
"312","18.5399997365","18.5399997365","18.5399997365"
"313","11.9199998137","11.9199998137","11.9199998137"
"314","29.3299996108","29.3299996108","29.3299996108"
"315","29.3299996108","29.3299996108","29.3299996108"
"316","20.9099996183","20.9099996183","20.9099996183"
"317","20.5699997135","20.5699997135","20.5699997135"
"318","39.589999618","39.589999618","39.589999618"
"319","9.9599999748","9.9599999748","9.9599999748"
"320","21.7099997774","21.7099997774","21.7099997774"
"321","20.0699998531","20.0699998531","20.0699998531"
"322","11.9699998889","11.9699998889","11.9699998889"
"323","27.3999998793","27.3999998793","27.3999998793"
"324","22.6299998593","22.6299998593","22.6299998593"
"325","20.2399997711","20.2399997711","20.2399997711"
"326","45.4299996793","45.4299996793","45.4299996793"
"327","34.1699996274","34.1699996274","34.1699996274"
"328","15.7999999132","15.7999999132","15.7999999132"
"329","11.0599999428","11.0599999428","11.0599999428"
"330","20.9399997275","20.9399997275","20.9399997275"
"331","16.0999998655","16.0999998655","16.0999998655"
"332","18.439999802","18.439999802","18.439999802"
"333","28.9099995233","28.9099995233","28.9099995233"
"334","11.2999999188","11.2999999188","11.2999999188"
"335","21.1799997091","21.1799997091","21.1799997091"
"336","18.3099997118","18.3099997118","18.3099997118"
"337","36.1299995743","36.1299995743","36.1299995743"
"338","11.1599999219","11.1599999219","11.1599999219"
"339","10.6799999829","10.6799999829","10.6799999829"
"340","15.5199998524","15.5199998524","15.5199998524"
"341","10.7899998687","10.7899998687","10.7899998687"
"342","148.2899997793","148.2899997793","148.2899997793"
"343","148.2899997793","148.2899997793","148.2899997793"
"344","41.4399997778","41.4399997778","41.4399997778"
"345","39.3199997712","39.3199997712","39.3199997712"
"346","22.3299998548","22.3299998548","22.3299998548"
"347","34.3899995536","34.3899995536","34.3899995536"
"348","34.3899995536","34.3899995536","34.3899995536"
"349","16.4499999117","16.4499999117","16.4499999117"
"350","17.5899998304","17.5899998304","17.5899998304"
"351","14.1599997599","14.1599997599","14.1599997599"
"352","16.6499998979","16.6499998979","16.6499998979"
"353","18.3899999578","18.3899999578","18.3899999578"
"354","18.3899999578","18.3899999578","18.3899999578"
"355","13.0399998445","13.0399998445","13.0399998445"
"356","13.0399998445","13.0399998445","13.0399998445"
"357","27.4599996228","27.4599996228","27.4599996228"
"358","42.8699997235","42.8699997235","42.8699997235"
"359","42.8699997235","42.8699997235","42.8699997235"
"360","4.9299999736","4.9299999736","4.9299999736"
"361","12.2599998172","12.2599998172","12.2599998172"
"362","14.7799998783","14.7799998783","14.7799998783"
"363","14.7799998783","14.7799998783","14.7799998783"
"364","19.6699998714","19.6699998714","19.6699998714"
"365","15.7799997795","15.7799997795","15.7799997795"
"366","19.9899998587","19.9899998587","19.9899998587"
"367","7.4599998929","7.4599998929","7.4599998929"
"368","42.1799996961","42.1799996961","42.1799996961"
"369","42.1799996961","42.1799996961","42.1799996961"
"370","45.3499996308","45.3499996308","45.3499996308"
"371","38.5899996981","38.5899996981","38.5899996981"
"372","11.0599998757","11.0599998757","11.0599998757"
"373","37.0299997367","37.0299997367","37.0299997367"
"374","13.2199998572","13.2199998572","13.2199998572"
"375","14.5399997905","14.5399997905","14.5399997905"
"376","14.159999989","14.159999989","14.159999989"
"377","38.1299996898","38.1299996898","38.1299996898"
"378","19.4099997822","19.4099997822","19.4099997822"
"379","21.6699998043","21.6699998043","21.6699998043"
"380","148.2899998501","148.2899998501","148.2899998501"
"381","15.7999997512","15.7999997512","15.7999997512"
"382","15.7999997512","15.7999997512","15.7999997512"
