"Step","DDPG_short_test_track_pixel - return_train","DDPG_short_test_track_pixel - return_train__MIN","DDPG_short_test_track_pixel - return_train__MAX"
"337","0.8199999817","0.8199999817","0.8199999817"
"338","2.559999967","2.559999967","2.559999967"
"339","0.2399999946","0.2399999946","0.2399999946"
"340","2.5799999461","2.5799999461","2.5799999461"
"341","0","0","0"
"342","7.479999952","7.479999952","7.479999952"
"343","3.4299999401","3.4299999401","3.4299999401"
"344","0.2299999949","0.2299999949","0.2299999949"
"345","1.7599999737","1.7599999737","1.7599999737"
"346","0.1399999969","0.1399999969","0.1399999969"
"347","0.0699999984","0.0699999984","0.0699999984"
"348","2.3799999543","2.3799999543","2.3799999543"
"349","1.2499999721","1.2499999721","1.2499999721"
"350","2.8699999545","2.8699999545","2.8699999545"
"351","0.9999999776","0.9999999776","0.9999999776"
"352","0","0","0"
"353","0","0","0"
"354","0.0699999984","0.0699999984","0.0699999984"
"355","0.1199999973","0.1199999973","0.1199999973"
"356","1.5199999679","1.5199999679","1.5199999679"
"357","0","0","0"
"358","0.9999999776","0.9999999776","0.9999999776"
"359","0","0","0"
"360","0","0","0"
"361","0.4399999902","0.4399999902","0.4399999902"
"362","0","0","0"
"363","0.1099999975","0.1099999975","0.1099999975"
"364","0.3999999911","0.3999999911","0.3999999911"
"365","0.4099999908","0.4099999908","0.4099999908"
"366","0.4199999906","0.4199999906","0.4199999906"
"367","0.0499999989","0.0499999989","0.0499999989"
"368","3.1899999548","3.1899999548","3.1899999548"
"369","2.5499999449","2.5499999449","2.5499999449"
"370","0.1399999969","0.1399999969","0.1399999969"
"371","1.599999981","1.599999981","1.599999981"
"372","0.1099999975","0.1099999975","0.1099999975"
"373","0.0199999996","0.0199999996","0.0199999996"
"374","0.1399999969","0.1399999969","0.1399999969"
"375","0.2199999951","0.2199999951","0.2199999951"
"376","0.4299999904","0.4299999904","0.4299999904"
"377","0.089999998","0.089999998","0.089999998"
"378","1.7399999611","1.7399999611","1.7399999611"
"379","0","0","0"
"380","4.2299999297","4.2299999297","4.2299999297"
"381","0.1899999958","0.1899999958","0.1899999958"
"382","3.9799999297","3.9799999297","3.9799999297"
"383","1.119999975","1.119999975","1.119999975"
"384","3.9899999965","3.9899999965","3.9899999965"
"385","2.2099999599","2.2099999599","2.2099999599"
"386","0","0","0"
