"Step","SAC_Double_critic_lidar - loss_critic","SAC_Double_critic_lidar - loss_critic__MIN","SAC_Double_critic_lidar - loss_critic__MAX"
"305","0.0261928457","0.0261928457","0.0261928457"
"306","0.0258085235","0.0258085235","0.0258085235"
"307","0.0257422836","0.0257422836","0.0257422836"
"308","0.0239201472","0.0239201472","0.0239201472"
"309","0.0255085282","0.0255085282","0.0255085282"
"310","0.0289724487","0.0289724487","0.0289724487"
"311","0.0244236747","0.0244236747","0.0244236747"
"312","0.0245248124","0.0245248124","0.0245248124"
"313","0.0261692868","0.0261692868","0.0261692868"
"314","0.0253308967","0.0253308967","0.0253308967"
"315","0.0243037487","0.0243037487","0.0243037487"
"316","0.0256442573","0.0256442573","0.0256442573"
"317","0.0250461107","0.0250461107","0.0250461107"
"318","0.0239345045","0.0239345045","0.0239345045"
"319","0.0227320958","0.0227320958","0.0227320958"
"320","0.021424054","0.021424054","0.021424054"
"321","0.0224564616","0.0224564616","0.0224564616"
"322","0.0234080957","0.0234080957","0.0234080957"
"323","0.0219635751","0.0219635751","0.0219635751"
"324","0.0223915673","0.0223915673","0.0223915673"
"325","0.0231136556","0.0231136556","0.0231136556"
"326","0.0203348397","0.0203348397","0.0203348397"
"327","0.0219455561","0.0219455561","0.0219455561"
"328","0.022482998","0.022482998","0.022482998"
"329","0.0214535912","0.0214535912","0.0214535912"
"330","0.0206093531","0.0206093531","0.0206093531"
"331","0.0207194764","0.0207194764","0.0207194764"
"332","0.0203224327","0.0203224327","0.0203224327"
"333","0.0189947467","0.0189947467","0.0189947467"
"334","0.0180074036","0.0180074036","0.0180074036"
"335","0.0205915066","0.0205915066","0.0205915066"
"336","0.0214473219","0.0214473219","0.0214473219"
"337","0.0203237933","0.0203237933","0.0203237933"
"338","0.0210664176","0.0210664176","0.0210664176"
"339","0.0186522297","0.0186522297","0.0186522297"
"340","0.0199234455","0.0199234455","0.0199234455"
"341","0.0197864293","0.0197864293","0.0197864293"
"342","0.0182055709","0.0182055709","0.0182055709"
"343","0.0182546182","0.0182546182","0.0182546182"
"344","0.018010518","0.018010518","0.018010518"
"345","0.019837129","0.019837129","0.019837129"
"346","0.0200228329","0.0200228329","0.0200228329"
"347","0.0182060771","0.0182060771","0.0182060771"
"348","0.0207820424","0.0207820424","0.0207820424"
"349","0.0200237265","0.0200237265","0.0200237265"
"350","0.0179609444","0.0179609444","0.0179609444"
"351","0.018621067","0.018621067","0.018621067"
"352","0.0178788331","0.0178788331","0.0178788331"
"353","0.0185769294","0.0185769294","0.0185769294"
"354","0.0282152828","0.0282152828","0.0282152828"
"355","0.0215297801","0.0215297801","0.0215297801"
"356","0.0210066019","0.0210066019","0.0210066019"
"357","0.0289912748","0.0289912748","0.0289912748"
"358","0.0223916096","0.0223916096","0.0223916096"
"359","0.0225532254","0.0225532254","0.0225532254"
"360","0.0209207999","0.0209207999","0.0209207999"
"361","0.0238247656","0.0238247656","0.0238247656"
"362","0.0284678246","0.0284678246","0.0284678246"
"363","0.0215969479","0.0215969479","0.0215969479"
"364","0.0212106591","0.0212106591","0.0212106591"
"365","0.0215209246","0.0215209246","0.0215209246"
"366","0.0205449516","0.0205449516","0.0205449516"
"367","0.0202280737","0.0202280737","0.0202280737"
"368","0.0201509499","0.0201509499","0.0201509499"
"369","0.0210898415","0.0210898415","0.0210898415"
"370","0.0241898581","0.0241898581","0.0241898581"
"371","0.0273609505","0.0273609505","0.0273609505"
"372","0.0231089362","0.0231089362","0.0231089362"
"373","0.0215555498","0.0215555498","0.0215555498"
"374","0.0259635998","0.0259635998","0.0259635998"
"375","0.0272841233","0.0272841233","0.0272841233"
"376","0.0226231158","0.0226231158","0.0226231158"
"377","0.0239128117","0.0239128117","0.0239128117"
"378","0.0235453417","0.0235453417","0.0235453417"
"379","0.0243677326","0.0243677326","0.0243677326"
"380","0.024608371","0.024608371","0.024608371"
"381","0.0232485934","0.0232485934","0.0232485934"
"382","0.0259412777","0.0259412777","0.0259412777"
"383","0.0235366879","0.0235366879","0.0235366879"
"384","0.0270600444","0.0270600444","0.0270600444"
"385","0.0247389693","0.0247389693","0.0247389693"
"386","0.0286480737","0.0286480737","0.0286480737"
"387","0.027917347","0.027917347","0.027917347"
"388","0.0282914262","0.0282914262","0.0282914262"
"389","0.023423677","0.023423677","0.023423677"
"390","0.0223504996","0.0223504996","0.0223504996"
"391","0.0236161237","0.0236161237","0.0236161237"
"392","0.0230043479","0.0230043479","0.0230043479"
"393","0.0226218538","0.0226218538","0.0226218538"
"394","0.0240348934","0.0240348934","0.0240348934"
"395","0.021541164","0.021541164","0.021541164"
"396","0.0221728048","0.0221728048","0.0221728048"
"397","0.0231595628","0.0231595628","0.0231595628"
"398","0.0247116411","0.0247116411","0.0247116411"
"399","0.0231081573","0.0231081573","0.0231081573"
"400","0.0272899353","0.0272899353","0.0272899353"
"401","0.0237091004","0.0237091004","0.0237091004"
"402","0.0262209622","0.0262209622","0.0262209622"
"403","0.0271589178","0.0271589178","0.0271589178"
"404","0.0257741504","0.0257741504","0.0257741504"
"405","0.0259749293","0.0259749293","0.0259749293"
"406","0.0262580008","0.0262580008","0.0262580008"
"407","0.0242102824","0.0242102824","0.0242102824"
"408","0.0280047279","0.0280047279","0.0280047279"
"409","0.0267092788","0.0267092788","0.0267092788"
"410","0.0280098515","0.0280098515","0.0280098515"
"411","0.0263945191","0.0263945191","0.0263945191"
"412","0.0260416339","0.0260416339","0.0260416339"
"413","0.0275898086","0.0275898086","0.0275898086"
"414","0.0285801834","0.0285801834","0.0285801834"
"415","0.0256746929","0.0256746929","0.0256746929"
"416","0.0258047364","0.0258047364","0.0258047364"
"417","0.027691091","0.027691091","0.027691091"
"418","0.0256565981","0.0256565981","0.0256565981"
"419","0.0237467056","0.0237467056","0.0237467056"
"420","0.0219164453","0.0219164453","0.0219164453"
"421","0.0239621485","0.0239621485","0.0239621485"
"422","0.0272893513","0.0272893513","0.0272893513"
"423","0.0230741532","0.0230741532","0.0230741532"
"424","0.0239320329","0.0239320329","0.0239320329"
"425","0.0237507913","0.0237507913","0.0237507913"
"426","0.0222191702","0.0222191702","0.0222191702"
"427","0.0210565176","0.0210565176","0.0210565176"
"428","0.0218086295","0.0218086295","0.0218086295"
"429","0.0205207124","0.0205207124","0.0205207124"
"430","0.0221840666","0.0221840666","0.0221840666"
"431","0.0233348362","0.0233348362","0.0233348362"
"432","0.021674066","0.021674066","0.021674066"
"433","0.0238428817","0.0238428817","0.0238428817"
"434","0.0213193126","0.0213193126","0.0213193126"
"435","0.0229918056","0.0229918056","0.0229918056"
"436","0.0232768397","0.0232768397","0.0232768397"
"437","0.0222108175","0.0222108175","0.0222108175"
"438","0.0254358586","0.0254358586","0.0254358586"
"439","0.0234130513","0.0234130513","0.0234130513"
"440","0.0265628002","0.0265628002","0.0265628002"
"441","0.0262691897","0.0262691897","0.0262691897"
"442","0.0236770508","0.0236770508","0.0236770508"
"443","0.021912442","0.021912442","0.021912442"
"444","0.0233532137","0.0233532137","0.0233532137"
"445","0.022329573","0.022329573","0.022329573"
"446","0.0210638941","0.0210638941","0.0210638941"
"447","0.0211975085","0.0211975085","0.0211975085"
"448","0.020145329","0.020145329","0.020145329"
"449","0.0228173657","0.0228173657","0.0228173657"
"450","0.0213323307","0.0213323307","0.0213323307"
