"Step","DDPG_short_test_track_LIDAR - loss_critic","DDPG_short_test_track_LIDAR - loss_critic__MIN","DDPG_short_test_track_LIDAR - loss_critic__MAX"
"226","0.121823437","0.121823437","0.121823437"
"227","0.119635079","0.119635079","0.119635079"
"228","0.0990169286","0.0990169286","0.0990169286"
"229","0.1195026081","0.1195026081","0.1195026081"
"230","0.1078778376","0.1078778376","0.1078778376"
"231","0.113582078","0.113582078","0.113582078"
"232","0.1116218408","0.1116218408","0.1116218408"
"233","0.0994352929","0.0994352929","0.0994352929"
"234","0.1391502523","0.1391502523","0.1391502523"
"235","0.1203119813","0.1203119813","0.1203119813"
"236","0.1222161089","0.1222161089","0.1222161089"
"237","0.1100781961","0.1100781961","0.1100781961"
"238","0.128851596","0.128851596","0.128851596"
"239","0.1169160762","0.1169160762","0.1169160762"
"240","0.1120003481","0.1120003481","0.1120003481"
"241","0.1128824511","0.1128824511","0.1128824511"
"242","0.1150308955","0.1150308955","0.1150308955"
"243","0.1067271683","0.1067271683","0.1067271683"
"244","0.1232910364","0.1232910364","0.1232910364"
"245","0.1199472935","0.1199472935","0.1199472935"
"246","0.1133504055","0.1133504055","0.1133504055"
"247","0.1105141622","0.1105141622","0.1105141622"
"248","0.1125390319","0.1125390319","0.1125390319"
"249","0.1210565924","0.1210565924","0.1210565924"
"250","0.1035413992","0.1035413992","0.1035413992"
"251","0.1034917311","0.1034917311","0.1034917311"
"252","0.1015314755","0.1015314755","0.1015314755"
"253","0.1070624931","0.1070624931","0.1070624931"
"254","0.1114883975","0.1114883975","0.1114883975"
"255","0.1229544775","0.1229544775","0.1229544775"
"256","0.109449068","0.109449068","0.109449068"
"257","0.1116176116","0.1116176116","0.1116176116"
"258","0.1159856067","0.1159856067","0.1159856067"
"259","0.1116357721","0.1116357721","0.1116357721"
"260","0.1215123714","0.1215123714","0.1215123714"
"261","0.1148340895","0.1148340895","0.1148340895"
"262","0.1278276131","0.1278276131","0.1278276131"
"263","0.1195620853","0.1195620853","0.1195620853"
"264","0.1175002569","0.1175002569","0.1175002569"
"265","0.1332118655","0.1332118655","0.1332118655"
"266","0.1295481386","0.1295481386","0.1295481386"
"267","0.1148613627","0.1148613627","0.1148613627"
"268","0.1160874692","0.1160874692","0.1160874692"
"269","0.112932203","0.112932203","0.112932203"
"270","0.1161218584","0.1161218584","0.1161218584"
"271","0.1108460733","0.1108460733","0.1108460733"
"272","0.1512064644","0.1512064644","0.1512064644"
"273","0.1415436699","0.1415436699","0.1415436699"
"274","0.1358365208","0.1358365208","0.1358365208"
"275","0.1292599177","0.1292599177","0.1292599177"
"276","0.1438679951","0.1438679951","0.1438679951"
"277","0.1325380849","0.1325380849","0.1325380849"
"278","0.1263262334","0.1263262334","0.1263262334"
"279","0.1302946268","0.1302946268","0.1302946268"
"280","0.1206992441","0.1206992441","0.1206992441"
"281","0.1232707567","0.1232707567","0.1232707567"
"282","0.1213762644","0.1213762644","0.1213762644"
"283","0.1364107406","0.1364107406","0.1364107406"
"284","0.1458611882","0.1458611882","0.1458611882"
