"Step","SAC_short_test_track - loss_critic","SAC_short_test_track - loss_critic__MIN","SAC_short_test_track - loss_critic__MAX"
"542","0.3450658023","0.3450658023","0.3450658023"
"543","0.4082315733","0.4082315733","0.4082315733"
"544","0.3452487795","0.3452487795","0.3452487795"
"545","0.6731821082","0.6731821082","0.6731821082"
"546","0.3305846969","0.3305846969","0.3305846969"
"547","0.7487052961","0.7487052961","0.7487052961"
"548","0.3101408897","0.3101408897","0.3101408897"
"549","0.3461149085","0.3461149085","0.3461149085"
"550","0.2960964468","0.2960964468","0.2960964468"
"551","0.3558992277","0.3558992277","0.3558992277"
"552","0.4786859749","0.4786859749","0.4786859749"
"553","0.5018296939","0.5018296939","0.5018296939"
"554","0.4579117998","0.4579117998","0.4579117998"
"555","0.3148842483","0.3148842483","0.3148842483"
