"Step","DDPG_short_test_track_LIDAR - loss_actor","DDPG_short_test_track_LIDAR - loss_actor__MIN","DDPG_short_test_track_LIDAR - loss_actor__MAX"
"220","-3.2653207648","-3.2653207648","-3.2653207648"
"221","-3.2955790281","-3.2955790281","-3.2955790281"
"222","-3.3205347288","-3.3205347288","-3.3205347288"
"223","-3.3368425381","-3.3368425381","-3.3368425381"
"224","-3.3521340728","-3.3521340728","-3.3521340728"
"225","-3.3724088514","-3.3724088514","-3.3724088514"
"226","-3.44164096","-3.44164096","-3.44164096"
"227","-3.4508190966","-3.4508190966","-3.4508190966"
"228","-3.4627925265","-3.4627925265","-3.4627925265"
"229","-3.5071022892","-3.5071022892","-3.5071022892"
"230","-3.5104981792","-3.5104981792","-3.5104981792"
"231","-3.5167025876","-3.5167025876","-3.5167025876"
"232","-3.5473858798","-3.5473858798","-3.5473858798"
"233","-3.5551443303","-3.5551443303","-3.5551443303"
"234","-3.5775161815","-3.5775161815","-3.5775161815"
"235","-3.5846586788","-3.5846586788","-3.5846586788"
"236","-3.6048474681","-3.6048474681","-3.6048474681"
"237","-3.6248835039","-3.6248835039","-3.6248835039"
"238","-3.6448643208","-3.6448643208","-3.6448643208"
"239","-3.6510099661","-3.6510099661","-3.6510099661"
"240","-3.664743346","-3.664743346","-3.664743346"
"241","-3.6729595339","-3.6729595339","-3.6729595339"
"242","-3.6934507346","-3.6934507346","-3.6934507346"
"243","-3.7080432236","-3.7080432236","-3.7080432236"
"244","-3.7599421942","-3.7599421942","-3.7599421942"
"245","-3.7633143878","-3.7633143878","-3.7633143878"
"246","-3.7867441571","-3.7867441571","-3.7867441571"
"247","-3.778916055","-3.778916055","-3.778916055"
"248","-3.7857128298","-3.7857128298","-3.7857128298"
"249","-3.8178277516","-3.8178277516","-3.8178277516"
"250","-3.8147380495","-3.8147380495","-3.8147380495"
"251","-3.8253741086","-3.8253741086","-3.8253741086"
"252","-3.8357614887","-3.8357614887","-3.8357614887"
"253","-3.8249344003","-3.8249344003","-3.8249344003"
"254","-3.8477223885","-3.8477223885","-3.8477223885"
"255","-3.9195695567","-3.9195695567","-3.9195695567"
"256","-3.9227403331","-3.9227403331","-3.9227403331"
"257","-3.9309731591","-3.9309731591","-3.9309731591"
"258","-3.9429050565","-3.9429050565","-3.9429050565"
"259","-3.9557301188","-3.9557301188","-3.9557301188"
"260","-3.9948008978","-3.9948008978","-3.9948008978"
"261","-4.0128089893","-4.0128089893","-4.0128089893"
"262","-4.0080318952","-4.0080318952","-4.0080318952"
"263","-4.0313709807","-4.0313709807","-4.0313709807"
"264","-4.0323966682","-4.0323966682","-4.0323966682"
"265","-4.0584047854","-4.0584047854","-4.0584047854"
"266","-4.0696589077","-4.0696589077","-4.0696589077"
"267","-4.0696850967","-4.0696850967","-4.0696850967"
"268","-4.1103124237","-4.1103124237","-4.1103124237"
"269","-4.1215775514","-4.1215775514","-4.1215775514"
"270","-4.1267643869","-4.1267643869","-4.1267643869"
"271","-4.1262630284","-4.1262630284","-4.1262630284"
"272","-4.1815408349","-4.1815408349","-4.1815408349"
"273","-4.2305571139","-4.2305571139","-4.2305571139"
"274","-4.2196222126","-4.2196222126","-4.2196222126"
"275","-4.2408834755","-4.2408834755","-4.2408834755"
"276","-4.260267812","-4.260267812","-4.260267812"
"277","-4.2456020844","-4.2456020844","-4.2456020844"
"278","-4.2879343259","-4.2879343259","-4.2879343259"
"279","-4.2900543094","-4.2900543094","-4.2900543094"
"280","-4.3159910429","-4.3159910429","-4.3159910429"
"281","-4.2922525716","-4.2922525716","-4.2922525716"
"282","-4.3206896591","-4.3206896591","-4.3206896591"
