"Step","DDPG_short_test_track_LIDAR - return_train","DDPG_short_test_track_LIDAR - return_train__MIN","DDPG_short_test_track_LIDAR - return_train__MAX"
"253","2.5700000133","2.5700000133","2.5700000133"
"254","2.5700000133","2.5700000133","2.5700000133"
"255","17.7499999572","17.7499999572","17.7499999572"
"256","17.7499999572","17.7499999572","17.7499999572"
"257","17.7499999572","17.7499999572","17.7499999572"
"258","17.7499999572","17.7499999572","17.7499999572"
"259","17.7499999572","17.7499999572","17.7499999572"
"260","9.4199998938","9.4199998938","9.4199998938"
"261","9.4199998938","9.4199998938","9.4199998938"
"262","9.4199998938","9.4199998938","9.4199998938"
"263","9.4199998938","9.4199998938","9.4199998938"
"264","9.4199998938","9.4199998938","9.4199998938"
"265","8.6599999536","8.6599999536","8.6599999536"
"266","8.6599999536","8.6599999536","8.6599999536"
"267","8.6599999536","8.6599999536","8.6599999536"
"268","8.6599999536","8.6599999536","8.6599999536"
"269","8.6599999536","8.6599999536","8.6599999536"
"270","8.6599999536","8.6599999536","8.6599999536"
"271","8.6599999536","8.6599999536","8.6599999536"
"272","20.7054499589","20.7054499589","20.7054499589"
"273","27.0499999616","27.0499999616","27.0499999616"
"274","27.0499999616","27.0499999616","27.0499999616"
"275","27.0499999616","27.0499999616","27.0499999616"
"276","2.1799999792","2.1799999792","2.1799999792"
"277","2.1799999792","2.1799999792","2.1799999792"
"278","2.1799999792","2.1799999792","2.1799999792"
"279","2.1799999792","2.1799999792","2.1799999792"
"280","2.1799999792","2.1799999792","2.1799999792"
"281","2.1799999792","2.1799999792","2.1799999792"
"282","2.1799999792","2.1799999792","2.1799999792"
"283","13.8188999504","13.8188999504","13.8188999504"
"284","27.759999916","27.759999916","27.759999916"
"285","27.759999916","27.759999916","27.759999916"
"286","1.669999972","1.669999972","1.669999972"
"287","1.669999972","1.669999972","1.669999972"
"288","1.669999972","1.669999972","1.669999972"
"289","1.669999972","1.669999972","1.669999972"
"290","1.669999972","1.669999972","1.669999972"
"291","1.669999972","1.669999972","1.669999972"
"292","1.669999972","1.669999972","1.669999972"
"293","19.0199999325","19.0199999325","19.0199999325"
"294","19.0199999325","19.0199999325","19.0199999325"
"295","19.0199999325","19.0199999325","19.0199999325"
"296","19.0199999325","19.0199999325","19.0199999325"
"297","19.0199999325","19.0199999325","19.0199999325"
"298","19.0199999325","19.0199999325","19.0199999325"
"299","19.0199999325","19.0199999325","19.0199999325"
"300","22.1299999021","22.1299999021","22.1299999021"
"301","22.1299999021","22.1299999021","22.1299999021"
"302","22.1299999021","22.1299999021","22.1299999021"
"303","1.9499999974","1.9499999974","1.9499999974"
"304","1.9499999974","1.9499999974","1.9499999974"
"305","1.9499999974","1.9499999974","1.9499999974"
"306","1.9499999974","1.9499999974","1.9499999974"
"307","1.9499999974","1.9499999974","1.9499999974"
"308","1.9499999974","1.9499999974","1.9499999974"
"309","1.9499999974","1.9499999974","1.9499999974"
"310","28.4199999012","28.4199999012","28.4199999012"
"311","28.4199999012","28.4199999012","28.4199999012"
"312","28.4199999012","28.4199999012","28.4199999012"
"313","4.6899999809","4.6899999809","4.6899999809"
"314","4.6899999809","4.6899999809","4.6899999809"
"315","4.6899999809","4.6899999809","4.6899999809"
"316","4.6899999809","4.6899999809","4.6899999809"
"317","4.6899999809","4.6899999809","4.6899999809"
"318","4.6899999809","4.6899999809","4.6899999809"
"319","18.7699998934","18.7699998934","18.7699998934"
"320","18.7699998934","18.7699998934","18.7699998934"
"321","18.7699998934","18.7699998934","18.7699998934"
"322","18.7699998934","18.7699998934","18.7699998934"
"323","18.7699998934","18.7699998934","18.7699998934"
"324","18.7699998934","18.7699998934","18.7699998934"
"325","18.7699998934","18.7699998934","18.7699998934"
"326","18.7699998934","18.7699998934","18.7699998934"
"327","18.7699998934","18.7699998934","18.7699998934"
"328","32.5999999903","32.5999999903","32.5999999903"
"329","32.5999999903","32.5999999903","32.5999999903"
"330","32.5999999903","32.5999999903","32.5999999903"
"331","6.2499999776","6.2499999776","6.2499999776"
"332","6.2499999776","6.2499999776","6.2499999776"
"333","1.9399999809","1.9399999809","1.9399999809"
"334","1.9399999809","1.9399999809","1.9399999809"
"335","1.989999989","1.989999989","1.989999989"
"336","1.989999989","1.989999989","1.989999989"
"337","1.989999989","1.989999989","1.989999989"
"338","1.989999989","1.989999989","1.989999989"
"339","1.989999989","1.989999989","1.989999989"
"340","1.989999989","1.989999989","1.989999989"
"341","1.989999989","1.989999989","1.989999989"
"342","21.4399999678","21.4399999678","21.4399999678"
"343","21.4399999678","21.4399999678","21.4399999678"
"344","21.4399999678","21.4399999678","21.4399999678"
"345","21.4399999678","21.4399999678","21.4399999678"
"346","21.4399999678","21.4399999678","21.4399999678"
