,idle_time,round_time,return_train,episode_length_train,_runtime,return_test,training_step_duration,loss_critic,memory_len,loss_actor,sampling_duration,_timestamp,episode_length_test,_step
401,0.0,8.7898168564,148.2899999935,654,8336.762203216553,0,0.0246381426,2.3115293375,115774,-2.659975608,0.0192111707,1716599230.9732573,0,822
402,0.0,10.4255678654,148.290000001,693,8336.762203216553,0,0.0283364713,2.1367900528,116468,-2.7160176164,0.0236539817,1716599230.9732573,0,824
403,0.0,9.4857501984,148.290000001,693,8336.763201475143,0,0.0262910378,2.2650950488,116468,-2.7076915401,0.0210344017,1716599230.9742556,0,825
404,0.0,8.6746115685,148.290000001,693,8336.763201475143,0,0.0243440247,2.0786114322,116468,-2.6997029483,0.0189249802,1716599230.9742556,0,826
405,0.0,8.9478321075,148.290000001,693,8336.764201641083,0,0.025418607,2.0441519351,116468,-2.67178011,0.0192323625,1716599230.9752557,0,827
406,0.0,8.938423872,2.999999987,81,8336.765200138092,0,0.0251571727,2.0651095407,117246,-2.7158543515,0.0194468975,1716599230.9762542,0,829
407,0.0,9.8950726986,2.999999987,81,8336.765200138092,0,0.0274923289,1.9941637549,117246,-2.736169824,0.0218551219,1716599230.9762542,0,830
408,0.0,8.6252446175,16.6099999361,374,8336.766200780869,0,0.024430263,1.8971490778,117621,-2.7624999553,0.0186283839,1716599230.9772549,0,832
409,0.0,9.0947284698,16.6099999361,374,8336.766200780869,0,0.0253264737,1.9901605788,117621,-2.6995864069,0.0200420439,1716599230.9772549,0,833
410,0.0,8.8510770798,148.2899999935,590,8336.768713712692,0,0.0249375367,2.3979342467,118785,-2.7723910284,0.019230026,1716599230.9797678,0,839
411,0.0,9.7565646172,148.2900000457,474,8336.769713401794,0,0.0272382438,2.3910650294,119260,-2.7722822088,0.0214342761,1716599230.9807675,0,843
412,0.0,9.6889486313,148.289999947,596,8336.769713401794,0,0.0267540646,2.3857716176,119857,-2.9273250186,0.0215231669,1716599230.9807675,0,844
413,0.0,9.5379710197,148.2899998911,636,8336.771723031998,0,0.0268340075,2.2291254565,120494,-2.8973264915,0.0207581544,1716599230.982777,0,848
414,0.0,9.598443985,6.2099999841,152,8336.771723031998,0,0.0265258336,2.9088759318,120647,-2.8411483973,0.021356082,1716599230.982777,0,849
415,0.0,9.081464529,6.2099999841,152,8336.771723031998,0,0.0257906246,2.3636543737,120647,-2.9220676219,0.0195109224,1716599230.982777,0,850
