"Step","SAC_single_critic_short_test_track_LIDAR - return_train","SAC_single_critic_short_test_track_LIDAR - return_train__MIN","SAC_single_critic_short_test_track_LIDAR - return_train__MAX"
"498","45.0799997039","45.0799997039","45.0799997039"
"499","45.0799997039","45.0799997039","45.0799997039"
"500","45.0799997039","45.0799997039","45.0799997039"
"501","45.0799997039","45.0799997039","45.0799997039"
"502","45.0799997039","45.0799997039","45.0799997039"
"503","45.0799997039","45.0799997039","45.0799997039"
"504","45.0799997039","45.0799997039","45.0799997039"
"505","45.0799997039","45.0799997039","45.0799997039"
"506","45.0799997039","45.0799997039","45.0799997039"
"507","45.0799997039","45.0799997039","45.0799997039"
"508","45.0799997039","45.0799997039","45.0799997039"
"509","148.2000028752","148.2000028752","148.2000028752"
"510","148.2000028752","148.2000028752","148.2000028752"
"511","148.2000028752","148.2000028752","148.2000028752"
"512","148.2000028752","148.2000028752","148.2000028752"
"513","148.2000028752","148.2000028752","148.2000028752"
"514","22.5699999835","22.5699999835","22.5699999835"
"515","22.5699999835","22.5699999835","22.5699999835"
"516","22.5699999835","22.5699999835","22.5699999835"
"517","22.5699999835","22.5699999835","22.5699999835"
"518","22.5699999835","22.5699999835","22.5699999835"
"519","28.5500000119","28.5500000119","28.5500000119"
"520","28.5500000119","28.5500000119","28.5500000119"
"521","28.5500000119","28.5500000119","28.5500000119"
"522","28.5500000119","28.5500000119","28.5500000119"
"523","28.5500000119","28.5500000119","28.5500000119"
"524","28.5500000119","28.5500000119","28.5500000119"
"525","36.8099999763","36.8099999763","36.8099999763"
"526","36.8099999763","36.8099999763","36.8099999763"
"527","36.8099999763","36.8099999763","36.8099999763"
"528","36.8099999763","36.8099999763","36.8099999763"
"529","36.8099999763","36.8099999763","36.8099999763"
"530","36.8099999763","36.8099999763","36.8099999763"
"531","28.9700000342","28.9700000342","28.9700000342"
"532","28.9700000342","28.9700000342","28.9700000342"
"533","28.9700000342","28.9700000342","28.9700000342"
"534","28.9700000342","28.9700000342","28.9700000342"
"535","28.9700000342","28.9700000342","28.9700000342"
"536","28.9700000342","28.9700000342","28.9700000342"
"537","28.9700000342","28.9700000342","28.9700000342"
"538","28.9700000342","28.9700000342","28.9700000342"
"539","28.9700000342","28.9700000342","28.9700000342"
"540","148.2000029366","148.2000029366","148.2000029366"
"541","148.2000029366","148.2000029366","148.2000029366"
"542","148.2000029366","148.2000029366","148.2000029366"
"543","148.2000029366","148.2000029366","148.2000029366"
"544","148.2000029366","148.2000029366","148.2000029366"
"545","148.2000029366","148.2000029366","148.2000029366"
"546","148.2000029366","148.2000029366","148.2000029366"
"547","148.2000029366","148.2000029366","148.2000029366"
"548","148.2000029366","148.2000029366","148.2000029366"
"549","148.2000029366","148.2000029366","148.2000029366"
"550","148.2100029439","148.2100029439","148.2100029439"
"551","148.2100029439","148.2100029439","148.2100029439"
