"Step","SAC_single_critic_short_test_track_LIDAR - loss_actor","SAC_single_critic_short_test_track_LIDAR - loss_actor__MIN","SAC_single_critic_short_test_track_LIDAR - loss_actor__MAX"
"316","-14.1503517246","-14.1503517246","-14.1503517246"
"317","-14.0875953436","-14.0875953436","-14.0875953436"
"318","-14.0221981049","-14.0221981049","-14.0221981049"
"319","-14.0728043509","-14.0728043509","-14.0728043509"
"320","-14.1763252115","-14.1763252115","-14.1763252115"
"321","-14.0679839516","-14.0679839516","-14.0679839516"
"322","-14.1651430273","-14.1651430273","-14.1651430273"
"323","-14.2149158239","-14.2149158239","-14.2149158239"
"324","-14.1030428171","-14.1030428171","-14.1030428171"
"325","-14.2019256258","-14.2019256258","-14.2019256258"
"326","-14.0423172522","-14.0423172522","-14.0423172522"
"327","-14.1072207165","-14.1072207165","-14.1072207165"
"328","-13.9533332729","-13.9533332729","-13.9533332729"
"329","-14.1189351559","-14.1189351559","-14.1189351559"
"330","-14.085682497","-14.085682497","-14.085682497"
"331","-14.2538993645","-14.2538993645","-14.2538993645"
"332","-14.2235554504","-14.2235554504","-14.2235554504"
"333","-14.1531427336","-14.1531427336","-14.1531427336"
"334","-14.2013790131","-14.2013790131","-14.2013790131"
"335","-14.6455646276","-14.6455646276","-14.6455646276"
"336","-14.714163599","-14.714163599","-14.714163599"
"337","-14.7587963629","-14.7587963629","-14.7587963629"
"338","-14.6483137417","-14.6483137417","-14.6483137417"
"339","-14.6923917437","-14.6923917437","-14.6923917437"
"340","-14.6999558258","-14.6999558258","-14.6999558258"
"341","-14.6523231506","-14.6523231506","-14.6523231506"
"342","-14.6955874491","-14.6955874491","-14.6955874491"
"343","-14.6280443239","-14.6280443239","-14.6280443239"
"344","-14.6730871725","-14.6730871725","-14.6730871725"
"345","-14.5227440119","-14.5227440119","-14.5227440119"
"346","-14.9193067408","-14.9193067408","-14.9193067408"
"347","-14.58866364","-14.58866364","-14.58866364"
"348","-14.6378702927","-14.6378702927","-14.6378702927"
"349","-14.7441740322","-14.7441740322","-14.7441740322"
"350","-14.6394171715","-14.6394171715","-14.6394171715"
"351","-14.8219060802","-14.8219060802","-14.8219060802"
"352","-14.6926270056","-14.6926270056","-14.6926270056"
"353","-14.7508653307","-14.7508653307","-14.7508653307"
"354","-14.8237489891","-14.8237489891","-14.8237489891"
"355","-14.9070625639","-14.9070625639","-14.9070625639"
"356","-14.7954087257","-14.7954087257","-14.7954087257"
"357","-14.7627685928","-14.7627685928","-14.7627685928"
"358","-14.7440785027","-14.7440785027","-14.7440785027"
"359","-14.7351632214","-14.7351632214","-14.7351632214"
"360","-14.8373471546","-14.8373471546","-14.8373471546"
"361","-14.6606038761","-14.6606038761","-14.6606038761"
"362","-14.8360074663","-14.8360074663","-14.8360074663"
"363","-14.9193711758","-14.9193711758","-14.9193711758"
"364","-14.7732660675","-14.7732660675","-14.7732660675"
"365","-14.7354044485","-14.7354044485","-14.7354044485"
"366","-14.9098801041","-14.9098801041","-14.9098801041"
"367","-14.8787382841","-14.8787382841","-14.8787382841"
"368","-14.9051752663","-14.9051752663","-14.9051752663"
"369","-14.7627502298","-14.7627502298","-14.7627502298"
"370","-14.7973352528","-14.7973352528","-14.7973352528"
"371","-14.8244957304","-14.8244957304","-14.8244957304"
"372","-14.8619723368","-14.8619723368","-14.8619723368"
"373","-14.7632812834","-14.7632812834","-14.7632812834"
"374","-14.9118884134","-14.9118884134","-14.9118884134"
"375","-14.9324674225","-14.9324674225","-14.9324674225"
"376","-14.8574550152","-14.8574550152","-14.8574550152"
"377","-14.8962110281","-14.8962110281","-14.8962110281"
"378","-14.7204650068","-14.7204650068","-14.7204650068"
"379","-14.8205525398","-14.8205525398","-14.8205525398"
"380","-14.8220090151","-14.8220090151","-14.8220090151"
"381","-14.9444113398","-14.9444113398","-14.9444113398"
"382","-14.9916063356","-14.9916063356","-14.9916063356"
"383","-14.8669540691","-14.8669540691","-14.8669540691"
"384","-14.9372587824","-14.9372587824","-14.9372587824"
"385","-14.931681385","-14.931681385","-14.931681385"
"386","-14.8540991879","-14.8540991879","-14.8540991879"
"387","-15.0395589781","-15.0395589781","-15.0395589781"
"388","-15.059526844","-15.059526844","-15.059526844"
"389","-15.0508060122","-15.0508060122","-15.0508060122"
"390","-15.0022909975","-15.0022909975","-15.0022909975"
"391","-14.8614695501","-14.8614695501","-14.8614695501"
"392","-14.9800328159","-14.9800328159","-14.9800328159"
"393","-14.8749921083","-14.8749921083","-14.8749921083"
"394","-14.8641725159","-14.8641725159","-14.8641725159"
"395","-14.9642209148","-14.9642209148","-14.9642209148"
"396","-15.0528237247","-15.0528237247","-15.0528237247"
"397","-14.9998624802","-14.9998624802","-14.9998624802"
"398","-15.1396758986","-15.1396758986","-15.1396758986"
"399","-14.9825865936","-14.9825865936","-14.9825865936"
"400","-15.0437337685","-15.0437337685","-15.0437337685"
"401","-15.0104322624","-15.0104322624","-15.0104322624"
"402","-15.0405006599","-15.0405006599","-15.0405006599"
"403","-15.0803811407","-15.0803811407","-15.0803811407"
