"Step","SAC_single_critic_short_test_track_LIDAR - loss_critic","SAC_single_critic_short_test_track_LIDAR - loss_critic__MIN","SAC_single_critic_short_test_track_LIDAR - loss_critic__MAX"
"338","1.5830860975","1.5830860975","1.5830860975"
"339","1.7385783489","1.7385783489","1.7385783489"
"340","1.5010377048","1.5010377048","1.5010377048"
"341","1.4732495967","1.4732495967","1.4732495967"
"342","1.3328353356","1.3328353356","1.3328353356"
"343","1.2124014686","1.2124014686","1.2124014686"
"344","2.0107551299","2.0107551299","2.0107551299"
"345","1.5350516105","1.5350516105","1.5350516105"
"346","1.84677734","1.84677734","1.84677734"
"347","1.4488481158","1.4488481158","1.4488481158"
"348","1.3458639415","1.3458639415","1.3458639415"
"349","2.5118718153","2.5118718153","2.5118718153"
"350","1.5006453742","1.5006453742","1.5006453742"
"351","1.8183509983","1.8183509983","1.8183509983"
"352","1.4980769306","1.4980769306","1.4980769306"
"353","1.5949735913","1.5949735913","1.5949735913"
"354","1.9731970018","1.9731970018","1.9731970018"
"355","1.8509340049","1.8509340049","1.8509340049"
"356","1.0284894682","1.0284894682","1.0284894682"
"357","1.7584216051","1.7584216051","1.7584216051"
"358","2.0395177035","2.0395177035","2.0395177035"
"359","1.8924336877","1.8924336877","1.8924336877"
"360","1.6824662547","1.6824662547","1.6824662547"
"361","1.9090438177","1.9090438177","1.9090438177"
"362","1.5795366332","1.5795366332","1.5795366332"
"363","1.7253079982","1.7253079982","1.7253079982"
"364","1.0979941912","1.0979941912","1.0979941912"
"365","1.6989292666","1.6989292666","1.6989292666"
"366","1.6829948545","1.6829948545","1.6829948545"
"367","1.4596751006","1.4596751006","1.4596751006"
"368","1.6360544932","1.6360544932","1.6360544932"
"369","1.1906536169","1.1906536169","1.1906536169"
"370","2.084596881","2.084596881","2.084596881"
"371","1.4792905283","1.4792905283","1.4792905283"
"372","1.2330330515","1.2330330515","1.2330330515"
"373","1.5657890546","1.5657890546","1.5657890546"
"374","1.0715553845","1.0715553845","1.0715553845"
"375","1.0249276572","1.0249276572","1.0249276572"
"376","1.5325988236","1.5325988236","1.5325988236"
"377","1.2887619135","1.2887619135","1.2887619135"
"378","1.5665988544","1.5665988544","1.5665988544"
"379","1.6260929668","1.6260929668","1.6260929668"
"380","1.4077901085","1.4077901085","1.4077901085"
"381","0.9624749742","0.9624749742","0.9624749742"
"382","1.2415059572","1.2415059572","1.2415059572"
"383","1.2115443586","1.2115443586","1.2115443586"
"384","1.3691551708","1.3691551708","1.3691551708"
"385","1.6137779425","1.6137779425","1.6137779425"
"386","1.5252149786","1.5252149786","1.5252149786"
"387","1.5212375969","1.5212375969","1.5212375969"
"388","1.4096486963","1.4096486963","1.4096486963"
"389","1.1288541877","1.1288541877","1.1288541877"
"390","1.0386610426","1.0386610426","1.0386610426"
"391","1.7673608537","1.7673608537","1.7673608537"
"392","1.4982680891","1.4982680891","1.4982680891"
"393","0.8447449999","0.8447449999","0.8447449999"
"394","1.803097173","1.803097173","1.803097173"
"395","1.4375752273","1.4375752273","1.4375752273"
"396","1.4488974676","1.4488974676","1.4488974676"
"397","1.2948284304","1.2948284304","1.2948284304"
"398","0.9501189712","0.9501189712","0.9501189712"
"399","1.5413458933","1.5413458933","1.5413458933"
"400","1.4508249052","1.4508249052","1.4508249052"
"401","1.3067067893","1.3067067893","1.3067067893"
"402","1.170957717","1.170957717","1.170957717"
"403","1.284026863","1.284026863","1.284026863"
"404","1.3355483514","1.3355483514","1.3355483514"
"405","1.9733078077","1.9733078077","1.9733078077"
"406","1.1893459393","1.1893459393","1.1893459393"
"407","2.0888012242","2.0888012242","2.0888012242"
"408","2.297468389","2.297468389","2.297468389"
"409","2.3195808367","2.3195808367","2.3195808367"
"410","1.5698360418","1.5698360418","1.5698360418"
"411","1.7869678731","1.7869678731","1.7869678731"
"412","2.6352974081","2.6352974081","2.6352974081"
"413","2.1876827684","2.1876827684","2.1876827684"
"414","1.9404620695","1.9404620695","1.9404620695"
"415","1.9464307079","1.9464307079","1.9464307079"
"416","3.2319247521","3.2319247521","3.2319247521"
"417","2.1876544815","2.1876544815","2.1876544815"
"418","1.8717027952","1.8717027952","1.8717027952"
"419","2.1084253159","2.1084253159","2.1084253159"
"420","2.3691638206","2.3691638206","2.3691638206"
"421","2.3774970946","2.3774970946","2.3774970946"
"422","2.3963889921","2.3963889921","2.3963889921"
"423","2.6547867063","2.6547867063","2.6547867063"
"424","2.2320362021","2.2320362021","2.2320362021"
"425","1.4532635078","1.4532635078","1.4532635078"
"426","1.4434002243","1.4434002243","1.4434002243"
"427","1.2023861893","1.2023861893","1.2023861893"
"428","2.3797705336","2.3797705336","2.3797705336"
"429","2.173656114","2.173656114","2.173656114"
"430","2.6187214102","2.6187214102","2.6187214102"
"431","1.8097532189","1.8097532189","1.8097532189"
"432","2.4278449847","2.4278449847","2.4278449847"
"433","1.6554380123","1.6554380123","1.6554380123"
"434","2.3474609505","2.3474609505","2.3474609505"
"435","1.9741297011","1.9741297011","1.9741297011"
"436","2.5651522924","2.5651522924","2.5651522924"
"437","1.9858742188","1.9858742188","1.9858742188"
"438","1.9777478807","1.9777478807","1.9777478807"
"439","2.0283349554","2.0283349554","2.0283349554"
"440","3.0723888715","3.0723888715","3.0723888715"
"441","2.1613485","2.1613485","2.1613485"
"442","2.177624308","2.177624308","2.177624308"
"443","2.2283734798","2.2283734798","2.2283734798"
"444","2.4752801719","2.4752801719","2.4752801719"
"445","2.1555709994","2.1555709994","2.1555709994"
"446","1.443533017","1.443533017","1.443533017"
"447","2.159031191","2.159031191","2.159031191"
"448","2.4038496311","2.4038496311","2.4038496311"
"449","1.5677827606","1.5677827606","1.5677827606"
"450","1.8715751812","1.8715751812","1.8715751812"
"451","2.4969772011","2.4969772011","2.4969772011"
"452","1.4254500906","1.4254500906","1.4254500906"
"453","1.7267829816","1.7267829816","1.7267829816"
"454","2.3339783727","2.3339783727","2.3339783727"
"455","2.2070579194","2.2070579194","2.2070579194"
"456","1.9965695612","1.9965695612","1.9965695612"
"457","1.6506704828","1.6506704828","1.6506704828"
"458","2.8832562897","2.8832562897","2.8832562897"
"459","2.1771828562","2.1771828562","2.1771828562"
"460","1.9525098605","1.9525098605","1.9525098605"
"461","2.3323050785","2.3323050785","2.3323050785"
"462","2.1649334928","2.1649334928","2.1649334928"
"463","2.5846644621","2.5846644621","2.5846644621"
"464","2.0765878129","2.0765878129","2.0765878129"
"465","1.9432675241","1.9432675241","1.9432675241"
"466","3.1834859458","3.1834859458","3.1834859458"
"467","1.8050603305","1.8050603305","1.8050603305"
"468","2.186512216","2.186512216","2.186512216"
"469","2.2819680044","2.2819680044","2.2819680044"
"470","1.9054000016","1.9054000016","1.9054000016"
"471","2.5393657911","2.5393657911","2.5393657911"
"472","2.6848832361","2.6848832361","2.6848832361"
"473","3.1916243409","3.1916243409","3.1916243409"
"474","2.4815439036","2.4815439036","2.4815439036"
"475","3.0426938741","3.0426938741","3.0426938741"
"476","2.5193332931","2.5193332931","2.5193332931"
"477","1.8574288717","1.8574288717","1.8574288717"
"478","2.5010545067","2.5010545067","2.5010545067"
"479","2.2146193087","2.2146193087","2.2146193087"
"480","3.0107034391","3.0107034391","3.0107034391"
"481","2.5087052444","2.5087052444","2.5087052444"
"482","2.8949801326","2.8949801326","2.8949801326"
"483","2.0163196024","2.0163196024","2.0163196024"
"484","2.2852526098","2.2852526098","2.2852526098"
"485","2.6067832133","2.6067832133","2.6067832133"
"486","2.3917809443","2.3917809443","2.3917809443"
"487","2.2082822776","2.2082822776","2.2082822776"
"488","2.5712370615","2.5712370615","2.5712370615"
"489","2.4596333772","2.4596333772","2.4596333772"
"490","2.3256397617","2.3256397617","2.3256397617"
