"Step","PPO_short_test_track_LIDAR - return_train","PPO_short_test_track_LIDAR - return_train__MIN","PPO_short_test_track_LIDAR - return_train__MAX"
"301","1.0199999847","1.0199999847","1.0199999847"
"302","0.8899999801","0.8899999801","0.8899999801"
"303","0.9199999832","0.9199999832","0.9199999832"
"304","0.9399999827","0.9399999827","0.9399999827"
"305","0.9599999879","0.9599999879","0.9599999879"
"306","0.8799999822","0.8799999822","0.8799999822"
"307","0.9399999883","0.9399999883","0.9399999883"
"308","0.9199999794","0.9199999794","0.9199999794"
"309","0.9299999811","0.9299999811","0.9299999811"
"310","1.0099999886","1.0099999886","1.0099999886"
"311","0.8299999814","0.8299999814","0.8299999814"
"312","0.9499999862","0.9499999862","0.9499999862"
"313","0.8799999803","0.8799999803","0.8799999803"
"314","0.9099999797","0.9099999797","0.9099999797"
"315","0.9399999864","0.9399999864","0.9399999864"
"316","0.8599999808","0.8599999808","0.8599999808"
"317","0.9399999883","0.9399999883","0.9399999883"
"318","0.889999982","0.889999982","0.889999982"
"319","0.9399999864","0.9399999864","0.9399999864"
"320","0.8999999855","0.8999999855","0.8999999855"
"321","0.8699999824","0.8699999824","0.8699999824"
"322","0.9199999832","0.9199999832","0.9199999832"
"323","0.9099999797","0.9099999797","0.9099999797"
"324","0.8799999803","0.8799999803","0.8799999803"
"325","0.8699999806","0.8699999806","0.8699999806"
"326","0.8799999841","0.8799999841","0.8799999841"
"327","0.9299999848","0.9299999848","0.9299999848"
"328","0.919999985","0.919999985","0.919999985"
"329","0.9199999869","0.9199999869","0.9199999869"
"330","0.9099999834","0.9099999834","0.9099999834"
"331","0.9099999815","0.9099999815","0.9099999815"
"332","0.9799999818","0.9799999818","0.9799999818"
"333","0.9199999813","0.9199999813","0.9199999813"
"334","0.9699999895","0.9699999895","0.9699999895"
"335","0.9099999815","0.9099999815","0.9099999815"
"336","0.9099999834","0.9099999834","0.9099999834"
"337","0.999999987","0.999999987","0.999999987"
"338","0.8399999831","0.8399999831","0.8399999831"
"339","0.8399999812","0.8399999812","0.8399999812"
"340","0.8399999812","0.8399999812","0.8399999812"
"341","0.8699999806","0.8699999806","0.8699999806"
"342","0.8599999808","0.8599999808","0.8599999808"
"343","0.9999999888","0.9999999888","0.9999999888"
"344","0.9499999844","0.9499999844","0.9499999844"
"345","0.849999981","0.849999981","0.849999981"
"346","0.8699999806","0.8699999806","0.8699999806"
"347","0.9099999815","0.9099999815","0.9099999815"
"348","0.9199999813","0.9199999813","0.9199999813"
"349","0.9399999846","0.9399999846","0.9399999846"
"350","0.8599999808","0.8599999808","0.8599999808"
"351","0.9199999832","0.9199999832","0.9199999832"
"352","0.8799999803","0.8799999803","0.8799999803"
"353","0.8999999836","0.8999999836","0.8999999836"
"354","0.9499999862","0.9499999862","0.9499999862"
"355","0.8799999822","0.8799999822","0.8799999822"
"356","0.8699999824","0.8699999824","0.8699999824"
"357","0.8999999817","0.8999999817","0.8999999817"
"358","1.0099999849","1.0099999849","1.0099999849"
"359","0.9099999815","0.9099999815","0.9099999815"
"360","0.9699999876","0.9699999876","0.9699999876"
"361","0.889999982","0.889999982","0.889999982"
"362","0.9499999862","0.9499999862","0.9499999862"
"363","0.9299999867","0.9299999867","0.9299999867"
"364","0.9099999834","0.9099999834","0.9099999834"
"365","0.889999982","0.889999982","0.889999982"
"366","0.9299999811","0.9299999811","0.9299999811"
"367","0.9699999858","0.9699999858","0.9699999858"
"368","0.9499999806","0.9499999806","0.9499999806"
"369","0.9099999797","0.9099999797","0.9099999797"
"370","0.8499999829","0.8499999829","0.8499999829"
"371","0.9599999841","0.9599999841","0.9599999841"
"372","0.9399999809","0.9399999809","0.9399999809"
"373","0.8799999803","0.8799999803","0.8799999803"
"374","0.8799999803","0.8799999803","0.8799999803"
"375","0.9399999827","0.9399999827","0.9399999827"
"376","0.9499999806","0.9499999806","0.9499999806"
"377","0.9099999834","0.9099999834","0.9099999834"
"378","0.9599999841","0.9599999841","0.9599999841"
"379","0.8899999838","0.8899999838","0.8899999838"
"380","0.849999981","0.849999981","0.849999981"
"381","1.0299999863","1.0299999863","1.0299999863"
"382","0.9099999815","0.9099999815","0.9099999815"
"383","0.9199999813","0.9199999813","0.9199999813"
"384","0.9099999834","0.9099999834","0.9099999834"
"385","0.8799999822","0.8799999822","0.8799999822"
"386","0.8399999812","0.8399999812","0.8399999812"
"387","0.9399999827","0.9399999827","0.9399999827"
"388","0.999999987","0.999999987","0.999999987"
"389","0.849999981","0.849999981","0.849999981"
"390","0.9499999881","0.9499999881","0.9499999881"
"391","0.9199999906","0.9199999906","0.9199999906"
"392","0.9499999862","0.9499999862","0.9499999862"
"393","0.8899999801","0.8899999801","0.8899999801"
"394","0.9199999887","0.9199999887","0.9199999887"
"395","0.9399999827","0.9399999827","0.9399999827"
"396","0.9299999811","0.9299999811","0.9299999811"
"397","0.849999981","0.849999981","0.849999981"
"398","0.8899999801","0.8899999801","0.8899999801"
"399","0.9499999862","0.9499999862","0.9499999862"
"400","0.9099999815","0.9099999815","0.9099999815"
"401","0.9099999815","0.9099999815","0.9099999815"
"402","0.9599999785","0.9599999785","0.9599999785"
"403","0.9799999855","0.9799999855","0.9799999855"
"404","0.8799999803","0.8799999803","0.8799999803"
"405","0.9699999839","0.9699999839","0.9699999839"
"406","0.9399999864","0.9399999864","0.9399999864"
"407","0.9799999874","0.9799999874","0.9799999874"
"408","0.9399999827","0.9399999827","0.9399999827"
"409","0.9499999806","0.9499999806","0.9499999806"
"410","0.959999986","0.959999986","0.959999986"
"411","0.9399999846","0.9399999846","0.9399999846"
"412","0.9199999832","0.9199999832","0.9199999832"
"413","0.8999999836","0.8999999836","0.8999999836"
"414","0.9399999846","0.9399999846","0.9399999846"
"415","0.8999999855","0.8999999855","0.8999999855"
"416","0.8999999817","0.8999999817","0.8999999817"
"417","0.8999999817","0.8999999817","0.8999999817"
"418","0.9599999785","0.9599999785","0.9599999785"
"419","0.9999999851","0.9999999851","0.9999999851"
"420","0.9299999829","0.9299999829","0.9299999829"
"421","0.919999985","0.919999985","0.919999985"
"422","0.9299999792","0.9299999792","0.9299999792"
"423","0.9199999832","0.9199999832","0.9199999832"
"424","0.9199999832","0.9199999832","0.9199999832"
"425","0.9499999862","0.9499999862","0.9499999862"
"426","0.8899999801","0.8899999801","0.8899999801"
"427","0.9299999811","0.9299999811","0.9299999811"
"428","0.989999989","0.989999989","0.989999989"
"429","0.9699999858","0.9699999858","0.9699999858"
"430","0.849999981","0.849999981","0.849999981"
"431","0.8999999817","0.8999999817","0.8999999817"
"432","0.959999986","0.959999986","0.959999986"
"433","0.9599999841","0.9599999841","0.9599999841"
"434","0.9799999911","0.9799999911","0.9799999911"
"435","0.9599999841","0.9599999841","0.9599999841"
"436","0.8999999799","0.8999999799","0.8999999799"
"437","0.9399999827","0.9399999827","0.9399999827"
"438","0.9999999888","0.9999999888","0.9999999888"
"439","0.8599999808","0.8599999808","0.8599999808"
"440","0.8899999801","0.8899999801","0.8899999801"
"441","0.9199999832","0.9199999832","0.9199999832"
"442","0.8999999817","0.8999999817","0.8999999817"
"443","0.9099999797","0.9099999797","0.9099999797"
"444","0.8399999812","0.8399999812","0.8399999812"
"445","0.9899999872","0.9899999872","0.9899999872"
"446","0.8899999801","0.8899999801","0.8899999801"
"447","0.8999999855","0.8999999855","0.8999999855"
"448","0.9399999827","0.9399999827","0.9399999827"
"449","0.8699999824","0.8699999824","0.8699999824"
"450","0.9399999883","0.9399999883","0.9399999883"
"451","0.9499999862","0.9499999862","0.9499999862"
"452","0.9499999881","0.9499999881","0.9499999881"
"453","0.8599999808","0.8599999808","0.8599999808"
"454","0.9999999851","0.9999999851","0.9999999851"
"455","0.9299999829","0.9299999829","0.9299999829"
"456","0.9299999829","0.9299999829","0.9299999829"
"457","0.9599999823","0.9599999823","0.9599999823"
"458","0.9499999806","0.9499999806","0.9499999806"
"459","0.9199999794","0.9199999794","0.9199999794"
"460","0.9499999825","0.9499999825","0.9499999825"
"461","0.9099999852","0.9099999852","0.9099999852"
"462","0.9099999834","0.9099999834","0.9099999834"
"463","0.9199999832","0.9199999832","0.9199999832"
"464","0.8899999801","0.8899999801","0.8899999801"
"465","0.8699999843","0.8699999843","0.8699999843"
"466","0.9299999885","0.9299999885","0.9299999885"
"467","0.9199999813","0.9199999813","0.9199999813"
"468","0.9799999874","0.9799999874","0.9799999874"
"469","0.8199999817","0.8199999817","0.8199999817"
"470","0.8699999806","0.8699999806","0.8699999806"
"471","0.8799999841","0.8799999841","0.8799999841"
"472","0.9299999792","0.9299999792","0.9299999792"
"473","0.959999986","0.959999986","0.959999986"
"474","0.9199999832","0.9199999832","0.9199999832"
"475","0.9299999811","0.9299999811","0.9299999811"
"476","0.9699999858","0.9699999858","0.9699999858"
"477","0.9799999837","0.9799999837","0.9799999837"
"478","0.9299999811","0.9299999811","0.9299999811"
"479","0.9199999869","0.9199999869","0.9199999869"
"480","0.8799999822","0.8799999822","0.8799999822"
"481","0.8999999799","0.8999999799","0.8999999799"
"482","0.9199999794","0.9199999794","0.9199999794"
"483","1.0299999863","1.0299999863","1.0299999863"
"484","0.9399999864","0.9399999864","0.9399999864"
"485","0.9299999848","0.9299999848","0.9299999848"
"486","1.0199999828","1.0199999828","1.0199999828"
"487","0.9699999858","0.9699999858","0.9699999858"
"488","0.9799999893","0.9799999893","0.9799999893"
"489","0.9199999869","0.9199999869","0.9199999869"
"490","0.9299999885","0.9299999885","0.9299999885"
"491","0.939999979","0.939999979","0.939999979"
"492","0.9699999858","0.9699999858","0.9699999858"
"493","0.9599999841","0.9599999841","0.9599999841"
"494","0.9899999853","0.9899999853","0.9899999853"
"495","0.9299999811","0.9299999811","0.9299999811"
"496","0.8999999799","0.8999999799","0.8999999799"
"497","1.0299999919","1.0299999919","1.0299999919"
"498","0.9599999823","0.9599999823","0.9599999823"
"499","0.9299999811","0.9299999811","0.9299999811"
"500","0.9799999837","0.9799999837","0.9799999837"
"501","0.8799999803","0.8799999803","0.8799999803"
"502","0.9699999876","0.9699999876","0.9699999876"
"503","0.8799999803","0.8799999803","0.8799999803"
"504","0.9699999839","0.9699999839","0.9699999839"
"505","0.9699999858","0.9699999858","0.9699999858"
"506","0.8799999803","0.8799999803","0.8799999803"
"507","0.9199999813","0.9199999813","0.9199999813"
"508","0.9199999832","0.9199999832","0.9199999832"
"509","0.9599999879","0.9599999879","0.9599999879"
"510","0.849999981","0.849999981","0.849999981"
"511","0.9099999834","0.9099999834","0.9099999834"
"512","0.9099999797","0.9099999797","0.9099999797"
"513","0.959999986","0.959999986","0.959999986"
"514","0.8599999826","0.8599999826","0.8599999826"
"515","0.9999999832","0.9999999832","0.9999999832"
"516","0.889999982","0.889999982","0.889999982"
"517","0.9499999862","0.9499999862","0.9499999862"
"518","0.9199999813","0.9199999813","0.9199999813"
"519","0.9099999834","0.9099999834","0.9099999834"
"520","0.9699999839","0.9699999839","0.9699999839"
"521","0.8899999801","0.8899999801","0.8899999801"
"522","0.8699999806","0.8699999806","0.8699999806"
"523","0.9799999855","0.9799999855","0.9799999855"
"524","0.8999999817","0.8999999817","0.8999999817"
"525","0.9599999879","0.9599999879","0.9599999879"
"526","0.9499999844","0.9499999844","0.9499999844"
"527","0.9199999832","0.9199999832","0.9199999832"
"528","0.9599999841","0.9599999841","0.9599999841"
"529","0.959999986","0.959999986","0.959999986"
"530","0.9299999867","0.9299999867","0.9299999867"
"531","0.9599999804","0.9599999804","0.9599999804"
"532","0.8999999836","0.8999999836","0.8999999836"
"533","0.9499999844","0.9499999844","0.9499999844"
"534","0.9299999829","0.9299999829","0.9299999829"
"535","0.9599999785","0.9599999785","0.9599999785"
"536","0.8899999801","0.8899999801","0.8899999801"
"537","0.9099999815","0.9099999815","0.9099999815"
"538","0.9699999858","0.9699999858","0.9699999858"
"539","0.8799999841","0.8799999841","0.8799999841"
"540","0.9499999862","0.9499999862","0.9499999862"
"541","1.0299999844","1.0299999844","1.0299999844"
"542","0.8899999838","0.8899999838","0.8899999838"
"543","1.0199999847","1.0199999847","1.0199999847"
"544","0.8999999799","0.8999999799","0.8999999799"
"545","0.9299999829","0.9299999829","0.9299999829"
"546","1.0099999867","1.0099999867","1.0099999867"
"547","0.9099999797","0.9099999797","0.9099999797"
"548","1.0099999849","1.0099999849","1.0099999849"
"549","0.919999985","0.919999985","0.919999985"
"550","0.9399999827","0.9399999827","0.9399999827"
"551","0.8799999841","0.8799999841","0.8799999841"
"552","0.9499999899","0.9499999899","0.9499999899"
"553","0.8499999829","0.8499999829","0.8499999829"
"554","1.0199999847","1.0199999847","1.0199999847"
"555","0.9699999783","0.9699999783","0.9699999783"
"556","0.97999998","0.97999998","0.97999998"
