"Step","PPO_short_test_track_LIDAR - loss_actor","PPO_short_test_track_LIDAR - loss_actor__MIN","PPO_short_test_track_LIDAR - loss_actor__MAX"
"339","0.0001885501","0.0001885501","0.0001885501"
"340","0.0001322786","0.0001322786","0.0001322786"
"341","-0.0011030818","-0.0011030818","-0.0011030818"
"342","-0.0001198901","-0.0001198901","-0.0001198901"
"343","-0.0003589344","-0.0003589344","-0.0003589344"
"344","0.0000395879","0.0000395879","0.0000395879"
"345","0.0000859508","0.0000859508","0.0000859508"
"346","0.0001687238","0.0001687238","0.0001687238"
"347","-0.0007104709","-0.0007104709","-0.0007104709"
"348","0.0003358155","0.0003358155","0.0003358155"
"349","-0.0011297641","-0.0011297641","-0.0011297641"
"350","0.000126946","0.000126946","0.000126946"
"351","-0.0006701869","-0.0006701869","-0.0006701869"
"352","-0.0003243239","-0.0003243239","-0.0003243239"
"353","-0.0009302243","-0.0009302243","-0.0009302243"
"354","0.0004144039","0.0004144039","0.0004144039"
"355","-0.0005527488","-0.0005527488","-0.0005527488"
"356","-0.0006249918","-0.0006249918","-0.0006249918"
"357","-0.0001010327","-0.0001010327","-0.0001010327"
"358","0.0004495583","0.0004495583","0.0004495583"
"359","-0.001280116","-0.001280116","-0.001280116"
"360","-0.0003947402","-0.0003947402","-0.0003947402"
"361","0.0001305065","0.0001305065","0.0001305065"
"362","-0.0007649379","-0.0007649379","-0.0007649379"
"363","-0.0008148687","-0.0008148687","-0.0008148687"
"364","0.0008728271","0.0008728271","0.0008728271"
"365","-0.0002390945","-0.0002390945","-0.0002390945"
"366","-0.000953063","-0.000953063","-0.000953063"
"367","-0.0001878103","-0.0001878103","-0.0001878103"
"368","-0.0001215872","-0.0001215872","-0.0001215872"
"369","-0.000990308","-0.000990308","-0.000990308"
"370","-0.0002075729","-0.0002075729","-0.0002075729"
"371","-0.0003255055","-0.0003255055","-0.0003255055"
"372","-0.0003046017","-0.0003046017","-0.0003046017"
"373","0.0003395608","0.0003395608","0.0003395608"
"374","-0.0014743838","-0.0014743838","-0.0014743838"
"375","0.0006948902","0.0006948902","0.0006948902"
"376","0.000077294","0.000077294","0.000077294"
"377","-0.0001169182","-0.0001169182","-0.0001169182"
"378","-0.0005347797","-0.0005347797","-0.0005347797"
"379","-0.0004108802","-0.0004108802","-0.0004108802"
"380","-0.0000831935","-0.0000831935","-0.0000831935"
"381","-0.0008884044","-0.0008884044","-0.0008884044"
"382","0.0007057321","0.0007057321","0.0007057321"
"383","-0.0011210796","-0.0011210796","-0.0011210796"
"384","0.0001011245","0.0001011245","0.0001011245"
"385","-0.0008901258","-0.0008901258","-0.0008901258"
"386","-0.000684937","-0.000684937","-0.000684937"
"387","0.0000205493","0.0000205493","0.0000205493"
"388","0.0001802125","0.0001802125","0.0001802125"
"389","-0.0001291968","-0.0001291968","-0.0001291968"
"390","0.0001251982","0.0001251982","0.0001251982"
"391","-0.0011507307","-0.0011507307","-0.0011507307"
"392","-0.0005498732","-0.0005498732","-0.0005498732"
"393","0.0005753205","0.0005753205","0.0005753205"
"394","-0.0006449934","-0.0006449934","-0.0006449934"
"395","-0.000443528","-0.000443528","-0.000443528"
"396","0.0003146507","0.0003146507","0.0003146507"
"397","-0.0006028019","-0.0006028019","-0.0006028019"
"398","0.0002536558","0.0002536558","0.0002536558"
"399","-0.000323934","-0.000323934","-0.000323934"
"400","-0.0008187845","-0.0008187845","-0.0008187845"
"401","-0.0002483194","-0.0002483194","-0.0002483194"
"402","0.0003513853","0.0003513853","0.0003513853"
"403","-0.0000655473","-0.0000655473","-0.0000655473"
"404","-0.0009474944","-0.0009474944","-0.0009474944"
"405","-0.0004401114","-0.0004401114","-0.0004401114"
"406","0.0001585425","0.0001585425","0.0001585425"
"407","-0.0009646372","-0.0009646372","-0.0009646372"
"408","0.0004088892","0.0004088892","0.0004088892"
"409","-0.000323444","-0.000323444","-0.000323444"
"410","-0.0003176177","-0.0003176177","-0.0003176177"
"411","0.0001590266","0.0001590266","0.0001590266"
"412","-0.0001899417","-0.0001899417","-0.0001899417"
"413","-0.0007949638","-0.0007949638","-0.0007949638"
"414","-0.0002389529","-0.0002389529","-0.0002389529"
"415","0.0005152324","0.0005152324","0.0005152324"
"416","-0.0006182095","-0.0006182095","-0.0006182095"
"417","-0.0001782625","-0.0001782625","-0.0001782625"
"418","-0.0000018383","-0.0000018383","-0.0000018383"
"419","-0.0004449133","-0.0004449133","-0.0004449133"
"420","-0.0000210737","-0.0000210737","-0.0000210737"
"421","-0.0004651361","-0.0004651361","-0.0004651361"
"422","-0.0002577625","-0.0002577625","-0.0002577625"
"423","-0.0001516136","-0.0001516136","-0.0001516136"
"424","-0.0003520029","-0.0003520029","-0.0003520029"
"425","-0.0000164344","-0.0000164344","-0.0000164344"
"426","-0.0001415059","-0.0001415059","-0.0001415059"
"427","-0.0000612278","-0.0000612278","-0.0000612278"
"428","0.00002839","0.00002839","0.00002839"
"429","-0.0007372514","-0.0007372514","-0.0007372514"
"430","-0.0003425161","-0.0003425161","-0.0003425161"
"431","-0.0000218524","-0.0000218524","-0.0000218524"
"432","0.0000399598","0.0000399598","0.0000399598"
"433","-0.0006136559","-0.0006136559","-0.0006136559"
"434","-0.0003743906","-0.0003743906","-0.0003743906"
"435","-0.0005412735","-0.0005412735","-0.0005412735"
"436","-0.0003249217","-0.0003249217","-0.0003249217"
"437","0.0006786311","0.0006786311","0.0006786311"
"438","-0.001132408","-0.001132408","-0.001132408"
"439","-0.0000671469","-0.0000671469","-0.0000671469"
"440","-0.0000274262","-0.0000274262","-0.0000274262"
"441","-0.0007485841","-0.0007485841","-0.0007485841"
"442","-0.0000163752","-0.0000163752","-0.0000163752"
"443","-0.0004364846","-0.0004364846","-0.0004364846"
"444","-0.0002857572","-0.0002857572","-0.0002857572"
"445","0.000673852","0.000673852","0.000673852"
"446","-0.0013643134","-0.0013643134","-0.0013643134"
"447","-0.0001023574","-0.0001023574","-0.0001023574"
"448","0.0002068692","0.0002068692","0.0002068692"
"449","0.0005174989","0.0005174989","0.0005174989"
"450","-0.0013181358","-0.0013181358","-0.0013181358"
"451","0.0001802229","0.0001802229","0.0001802229"
"452","-0.0013193337","-0.0013193337","-0.0013193337"
"453","0.0007098246","0.0007098246","0.0007098246"
"454","-0.0004597551","-0.0004597551","-0.0004597551"
"455","0.0002627988","0.0002627988","0.0002627988"
